"filename", "language", "C++", "CMake", "comment", "blank", "total"
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/BackgroundComponent.hpp", "C++", 38, 0, 0, 0, 38
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/ColliderComponent.hpp", "C++", -3, 0, 0, 0, -3
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/EnemyShootComponent.hpp", "C++", 0, 0, -5, 0, -5
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/Components/ShootComponent.hpp", "C++", 17, 0, 0, 0, 17
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Game/World.cpp", "C++", 1, 0, -1, 0, 0
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/MathLib/MathLib.h", "C++", 2, 0, 0, 1, 3
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/MathLib/Vector/VectorOperations.hpp", "C++", 13, 0, 0, 2, 15
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Physics/Body.cpp", "C++", 72, 0, 0, 4, 76
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Physics/Body.h", "C++", 19, 0, 6, 4, 29
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Physics/Shapes.cpp", "C++", 40, 0, -8, 2, 34
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Physics/Shapes.h", "C++", 6, 0, 0, 0, 6
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/Sources.cmake", "CMake", 0, 7, 0, 1, 8
"/Users/user/Documents/Uczelnia/_4Czwarty Semestr/Silniki do gier/R_Projcet/RayEngine_Project_Minimal/Source/UserGame.hpp", "C++", 7, 0, -6, 0, 1
"Total", "-", 212, 7, -14, 14, 219
